CNES,CO_INE,CO_CBO,MICROAREA
6508561,,515140,
6475345,,515140,
6530389,,782320,
6726852,,322605,
6475345,,515140,
6475345,,411010,
6508561,,515140,
6508561,,515140,
5396670,,324205,
5601053,0000155942,515105,
6362494,0000156027,515105,
6468918,,515120,
6468918,,411005,
5342074,0001676865,515105,
5342074,0001676865,515105,
6468918,,515105,
6471188,,411010,
0000604,,221105,
3983730,,324205,
5656893,,422105,
5656893,,422105,
5656893,,422105,
6362508,,411010,
6362508,,131210,
6362508,,422105,
6468918,,131225,
6468918,,515140,
0407070,,225165,
0134252,,225170,
4329988,,131210,
6468918,,411010,
5139155,,131210,
5139155,,422105,
6362508,0000156043,515105,
6468918,,515140,
4329988,,322105,
5139155,,422105,
5139155,0000155721,515105,
6362508,0000156051,515105,
6362508,0001565826,515105,
6362508,0001565826,515105,
6468918,,515110,
6468918,,214915,
6468918,,515110,
5139155,0002414066,515105,
5139155,0002414066,515105,
5396670,,324205,
5396670,,325210,
7958838,,223505,
0001414,,131210,
0001759,0001555332,515105,
0001996,,516220,
0001996,,516220,
0002070,,411010,
0002070,,411010,
0020516,,411010,
0022276,0000153737,515105,
6703437,,411010,
6703437,,422105,
6471188,,411010,
6472982,,411010,
6475345,,515140,
6503640,,515140,
6508561,,515140,
6530389,,351605,
6703437,,411030,
6471188,,411010,
2711613,,223505,
0000604,,223505,
0000531,,223505,
6472982,,131210,
6475345,,515140,
6475345,,515140,
6475345,,515140,
6508561,,515140,
6703437,,515225,
6703437,,515215,
6471188,,422105,
6472982,,515140,
6475345,,515140,
6503640,,515140,
6503640,,515140,
6508561,,515140,
6472982,,515140,
6472982,,411010,
6468918,,515120,
6475345,,515140,
6503640,,131210,
6508561,,515140,
6472982,,515140,
6472982,,515120,
6503640,,515140,
6503640,,515140,
6508960,,411010,
6664296,,224140,
6664296,,224140,
6475345,,515140,
6508510,,312210,
6530389,,322605,
6530389,,422105,
5601037,0002399741,515105,
6726852,,782320,
6475345,,515140,
6475345,,515140,
6508960,,415310,
6664741,,224140,
6726852,,322205,
6908268,,411010,
6475345,,515140,
6475345,,515140,
6664911,,224140,
6726852,,782320,
6471188,,411010,
6475345,,515140,
6475345,,515140,
6475345,,515140,
6488315,,411005,
6488315,,515225,
0001546,,411010,
0001953,,516220,
0002054,,516220,
0002135,0000153478,515105,
0022381,0000153931,515105,
0022462,,422105,
0022462,,411010,
0026336,0000154261,515105,
0001368,,515105,
5342074,0002399717,515105,
0002135,0000153486,515105,
